"date";"open";"close";"high";"low";"volume"
"5";2011-02-04;79.92;83.28;83.98;79.01;129743696
"11";2011-03-18;81.67;80.85;82.64;78.8;123914255
"8";2011-02-25;84.97;85.34;88.23;84.73;122018405
"25";2011-06-24;78.65;76.78;81.12;76.78;118679791
"4";2011-01-28;78.85;78.99;79.98;77.93;115376817
"18";2011-05-06;88.1;82.69;88.13;81.59;113805856
"9";2011-03-04;85.87;85.08;86.56;83.55;102134160
"1";2011-01-07;73.72;75.59;75.9;73.64;101740933
"24";2011-06-17;80;79.02;80.82;78.33;100521400
"3";2011-01-21;77.79;78.98;79.1;76.77;99941187
"19";2011-05-13;83.01;80.87;83.76;79.42;99678100
"7";2011-02-18;82;84.5;85.1;81.8;93325562
"10";2011-03-11;85.84;82.12;86.08;80.1;92727886
"23";2011-06-10;80.93;79.78;81.87;79.72;92380844
"20";2011-05-20;80.22;81.57;82.58;79.6;86758820
"6";2011-02-11;83.45;82.82;84;81.61;85733429
"12";2011-03-25;81.87;83.62;83.93;81.86;83364516
"17";2011-04-29;86.29;87.98;88;85.89;81596868
"15";2011-04-15;85.95;84.29;86.15;82.38;81056144
"22";2011-06-03;83.28;81.18;83.75;80.18;78616295
"13";2011-04-01;83.86;84.68;84.94;82.61;77569311
"14";2011-04-08;84.26;85.95;86.22;84.07;75566590
"2";2011-01-14;75.13;77.84;77.84;74.58;74376886
"21";2011-05-27;80.22;82.63;82.63;80.07;68230855
"16";2011-04-21;83.11;86.36;86.36;82.44;43378708
